,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.1212654,0.029333707,0.04480573,0.025952905,0.12585416,0.025081538,0.0284918,0.004814489,0.31563577,0.057290982,0.09783649,0.038622957,0.008266952,0.076747134
1,0.12110117,0.029432762,0.044871047,0.02609342,0.12585023,0.025199719,0.02862676,0.00488133,0.31486225,0.0573763,0.09785356,0.03873339,0.008349158,0.07676891
2,0.12132967,0.029240768,0.044716578,0.025864115,0.12583885,0.025004413,0.0284023,0.0047677997,0.316154,0.05726191,0.097943395,0.038561493,0.008206012,0.07670865
3,0.12091554,0.029573616,0.044995934,0.026243191,0.12574713,0.025341416,0.028777516,0.0049621216,0.31407264,0.057452697,0.09776867,0.0388574,0.008457762,0.07683434
4,0.12139503,0.029273763,0.04476974,0.025901247,0.12612806,0.025004705,0.028443558,0.004781125,0.31588775,0.057237204,0.09772152,0.038565483,0.008221581,0.07666915
5,0.12149527,0.029119885,0.04459473,0.025698576,0.12602606,0.02484181,0.028248845,0.004689693,0.31705132,0.05717298,0.097884275,0.038422342,0.008102885,0.07665133
6,0.121571794,0.029128226,0.044611935,0.025718644,0.12616783,0.024832338,0.02825981,0.004692116,0.31687677,0.05719034,0.09785915,0.038403075,0.008100794,0.07658724
7,0.12187093,0.028888768,0.044412646,0.025433991,0.12622608,0.02457449,0.02797443,0.0045543676,0.31852612,0.057042096,0.09790073,0.038167868,0.007922183,0.07650537
8,0.12186476,0.028870288,0.044391125,0.025422074,0.12620717,0.024566747,0.02796133,0.004546487,0.31861007,0.057032455,0.09794711,0.038162474,0.00791162,0.07650623
9,0.12099492,0.02953256,0.04498105,0.026212825,0.1258423,0.025308944,0.028750723,0.004940547,0.31419173,0.05741973,0.09777066,0.038829572,0.0084289955,0.07679546
10,0.12139649,0.029230678,0.04472565,0.0258427,0.12606199,0.024964858,0.028392829,0.0047542346,0.31618714,0.057229985,0.09782991,0.038524583,0.008186762,0.076672226
11,0.121478826,0.029197888,0.044696424,0.025811475,0.12613814,0.024917342,0.028350206,0.0047349753,0.31637084,0.057216976,0.097810455,0.03848035,0.008160973,0.07663517
12,0.12162587,0.029058857,0.04455258,0.025639791,0.12606196,0.02477829,0.02817946,0.0046548173,0.31737074,0.057136893,0.09791483,0.038359594,0.008055688,0.076610625
